claim_id,policy_start,incident_date,claim_amount,state,vehicle_type,incident_type,fact_of_loss,reported_by,policy_limit,insured_age,prior_claims_count,fraud_flag,severity_score
0Y9DOM5IG,2022-03-10,2022-12-06,99998.9,IN,Sedan,Rear-end Collision,V1 was damaged by falling tree during storm,insured,17250,75,5,0,0.92
QPKI7P5TB,2019-11-08,2020-11-07,40444.45,IL,Truck,Side-impact,V2 entered wrong lane and collided with V1,claimant,30256,55,4,0,0.19
94874FRHO,2018-12-02,2018-12-07,33496.51,MT,Truck,Theft,V2 turned left and struck the side of V1,claimant,15087,74,0,0,0.01
CN9J2QP89,2021-12-09,2022-01-15,12824.8,MT,Coupe,Theft,V1 was missing after being parked overnight,claimant,90659,79,5,1,0.98
UZFK8UT0C,2022-03-13,2023-02-24,54962.25,CO,SUV,Theft,V1 was damaged by falling tree during storm,insured,100000,48,0,1,0.17
VS4F8CGVY,2018-06-18,2018-07-29,8461.34,NY,Coupe,Side-impact,Hailstorm caused significant roof and hood damage to V1,claimant,90021,59,1,0,0.53
IE6IVWPVS,2021-09-10,2021-11-16,52259.6,VT,Sedan,Weather Damage,V2 entered wrong lane and collided with V1,insured,56123,52,3,0,0.62
7HZIOYKL1,2021-04-29,2022-03-23,11735.08,KY,Coupe,Rear-end Collision,Hailstorm caused significant roof and hood damage to V1,claimant,25656,52,1,1,0.64
CQ99CHJ75,2020-08-02,2021-04-11,3734.57,MT,Sedan,Side-impact,V1 struck V2 while reversing from parking spot,claimant,15000,56,0,0,0.91
5NF4ZW9XA,2018-08-21,2018-12-09,13255.33,KY,Coupe,Theft,V2 crossed centerline and hit V1 head-on,claimant,48384,38,5,0,0.23
3KX7EEDTJ,2018-07-11,2018-07-16,1002.52,WA,Van,Theft,V1 was damaged by falling tree during storm,claimant,92358,29,0,0,0.79
VZHWJR64D,2018-10-13,2019-02-09,45464.12,WA,Coupe,Rear-end Collision,V1 was reported stolen from insured’s driveway,insured,22409,46,1,0,0.44
PJA1WJ0TP,2021-09-27,2022-07-20,97661.37,TX,Coupe,Weather Damage,V1 was damaged by falling tree during storm,insured,95628,53,1,0,0.75
AC56T4UFE,2018-03-14,2018-07-09,7475.06,AL,Truck,Rear-end Collision,V1 was missing after being parked overnight,claimant,18744,45,1,1,0.46
L6246HID2,2019-09-03,2019-09-08,11092.86,FL,Van,Head-on Collision,V1 was reported stolen from insured’s driveway,claimant,100000,76,4,0,0.57
5OWF75935,2018-11-15,2018-12-29,14731.42,AZ,Coupe,Theft,V1 was missing after being parked overnight,claimant,51712,38,5,0,0.03
A0L7253J2,2020-02-01,2020-04-27,11224.7,SC,Sedan,Head-on Collision,V1 struck V2 while reversing from parking spot,insured,20558,36,1,1,0.5
D54I3QK2I,2021-01-21,2021-08-26,2429.26,AS,Sedan,Weather Damage,V2 turned left and struck the side of V1,insured,21691,59,1,1,0.54
AGL58KXO9,2019-07-19,2020-05-13,4353.39,UT,Coupe,Side-impact,V2 crossed centerline and hit V1 head-on,claimant,26641,18,5,1,0.15
T7E8G8JDP,2020-06-04,2020-06-09,1002.52,VT,Truck,Side-impact,V2 turned left and struck the side of V1,claimant,93057,32,1,1,0.01
0LVSNUJZA,2022-06-27,2023-05-02,57071.36,AK,Truck,Rear-end Collision,V2 entered wrong lane and collided with V1,claimant,100000,26,0,1,0.64
7TZ0YNCXL,2021-08-19,2022-06-24,13335.88,IA,Sedan,Weather Damage,V2 crossed centerline and hit V1 head-on,insured,100000,41,1,0,0.51
L4ZKLOOKE,2020-03-22,2020-12-13,21174.71,IN,Van,Rear-end Collision,V2 crossed centerline and hit V1 head-on,insured,20081,72,2,1,0.13
P7Y6WKTAK,2018-06-18,2019-04-05,8866.41,IN,SUV,Backing Collision,V2 entered wrong lane and collided with V1,insured,21396,80,0,0,0.36
PUXQPHR62,2020-07-04,2021-07-04,16728.87,WV,SUV,Rear-end Collision,V2 was behind V1 when it began backing up,claimant,47173,18,1,0,0.08
GDSWM31YI,2022-05-21,2022-05-26,39453.57,VT,Sedan,Head-on Collision,V1 was missing after being parked overnight,claimant,15000,40,3,0,0.56
HAIR4COWG,2020-04-08,2020-12-26,65189.12,IL,Truck,Head-on Collision,V2 turned left and struck the side of V1,claimant,93108,74,1,0,0.38
ZRIXA11DP,2021-05-23,2022-01-09,11908.43,AK,Van,Weather Damage,V2 was behind V1 when it began backing up,claimant,86124,71,1,0,0.39
G8SBI4Q2Y,2021-08-31,2022-08-31,24436.72,CO,Coupe,Weather Damage,V2 crossed centerline and hit V1 head-on,insured,98281,58,2,0,0.39
9V86WZS3T,2019-03-09,2019-03-14,11358.91,OR,Truck,Weather Damage,V1 struck V2 while reversing from parking spot,insured,92662,79,5,0,0.12
60RJIW1SW,2019-08-21,2019-11-29,1739.26,AK,SUV,Weather Damage,Hailstorm caused significant roof and hood damage to V1,claimant,88777,74,5,0,0.23
JCKJLTEIY,2022-05-14,2022-06-09,1002.52,CO,Sedan,Rear-end Collision,V2 rear-ended V1 while stopped at a red light,claimant,26119,77,1,0,0.37
ZCOTOHP6V,2020-02-03,2020-02-25,10604.86,MH,Sedan,Theft,V2 rear-ended V1 while stopped at a red light,insured,15000,80,2,0,0.01
Z41NAM148,2018-04-02,2018-11-02,1002.52,WA,Truck,Side-impact,Hailstorm caused significant roof and hood damage to V1,claimant,25692,76,3,0,0.45
P0TVHHPBM,2022-10-20,2022-10-25,9506.53,CO,SUV,Weather Damage,V1 was reported stolen from insured’s driveway,insured,42642,30,3,0,0.33
YOFQEWAOU,2018-05-02,2018-08-16,25474.83,FL,Truck,Side-impact,Hailstorm caused significant roof and hood damage to V1,claimant,94018,44,5,0,0.47
AXEQBNHL1,2019-12-13,2020-02-21,4986.52,WA,Sedan,Side-impact,V2 turned left and struck the side of V1,claimant,90696,29,5,0,0.71
N13JCAT9M,2020-04-12,2020-12-20,30410.41,OR,Van,Side-impact,V2 rear-ended V1 while stopped at a red light,insured,100000,47,2,0,0.51
X2X18HAFE,2018-12-06,2019-11-21,14683.47,CO,Truck,Weather Damage,V1 was damaged by falling tree during storm,insured,20567,60,4,1,0.69
YUHZ1GV0E,2018-06-04,2018-09-15,19538.16,CT,Van,Head-on Collision,V1 was damaged by falling tree during storm,insured,15888,42,0,0,0.63
38DALY8OZ,2020-02-16,2020-05-01,7506.63,IA,Sedan,Head-on Collision,Hailstorm caused significant roof and hood damage to V1,insured,92318,33,0,1,0.08
CYWD14VE9,2022-11-15,2023-01-03,17858.88,UT,Van,Rear-end Collision,V2 failed to stop and struck V1 from behind,insured,17623,18,0,0,0.2
2MPNSM43D,2018-10-22,2019-01-09,41852.9,IN,Truck,Rear-end Collision,V2 crossed centerline and hit V1 head-on,claimant,100000,31,2,0,0.01
8W3ZP08J3,2018-02-06,2018-05-13,8606.58,AL,Van,Rear-end Collision,V2 failed to stop and struck V1 from behind,claimant,17941,80,3,0,0.03
TRP0J43D5,2018-05-24,2018-09-27,2283.11,NE,Truck,Head-on Collision,V2 turned left and struck the side of V1,claimant,45119,64,3,0,0.07
IQVNB4GH2,2019-04-11,2019-12-04,32678.95,MA,Truck,Side-impact,V2 turned left and struck the side of V1,claimant,96719,80,4,0,0.31
M5ZJA8DZR,2023-01-01,2023-04-10,17266.58,NE,Sedan,Backing Collision,V2 entered wrong lane and collided with V1,claimant,100000,27,0,0,0.71
1YXR2DHYL,2018-01-30,2018-12-23,49463.17,WV,Sedan,Backing Collision,V2 rear-ended V1 while stopped at a red light,claimant,94183,26,2,1,0.94
URTP0LZJJ,2020-11-19,2021-08-22,42453.51,WA,Van,Rear-end Collision,V1 was damaged by falling tree during storm,claimant,24212,35,4,0,0.01
EGET1GHR0,2020-04-05,2020-09-11,16096.66,ND,Sedan,Rear-end Collision,V2 failed to stop and struck V1 from behind,claimant,15000,36,0,0,0.05
9SKDGIGAT,2019-05-05,2019-05-10,7062.06,SD,Sedan,Side-impact,V2 entered wrong lane and collided with V1,insured,94102,61,2,1,0.67
J9TZE5R5U,2019-02-24,2019-05-02,4592.33,VT,Sedan,Head-on Collision,V2 crossed centerline and hit V1 head-on,insured,21336,52,2,0,0.73
QPGB7R3OC,2021-08-08,2022-05-20,10754.15,DE,Van,Rear-end Collision,V1 was missing after being parked overnight,claimant,28063,18,1,0,0.16
WBFUK9E1V,2020-03-17,2020-12-03,1002.52,VI,Van,Weather Damage,V2 failed to stop and struck V1 from behind,insured,15839,71,2,0,0.05
2ISQP49KW,2018-10-22,2019-07-27,12176.64,NE,Sedan,Rear-end Collision,V1 struck V2 while reversing from parking spot,insured,100000,80,4,0,0.01
V08HHXFGC,2020-10-04,2020-10-15,48517.69,NY,Coupe,Weather Damage,V2 failed to stop and struck V1 from behind,insured,100000,47,2,0,0.6
AQVKIZZQY,2021-09-13,2021-11-26,17949.27,NE,Coupe,Side-impact,V2 entered wrong lane and collided with V1,claimant,53463,56,1,0,0.01
72WX7PTX6,2019-08-14,2019-08-19,9602.61,AS,Coupe,Side-impact,V2 rear-ended V1 while stopped at a red light,claimant,84936,62,1,0,0.98
3CFL0UKEY,2018-08-07,2019-08-07,1002.52,FL,Van,Theft,Hailstorm caused significant roof and hood damage to V1,claimant,18825,74,5,1,0.74
Z7SRCBPLJ,2020-09-01,2020-09-06,30567.35,DE,Truck,Side-impact,V2 crossed centerline and hit V1 head-on,claimant,15000,74,4,1,0.53
D84U89YJB,2019-01-01,2019-01-06,12239.98,NE,Sedan,Theft,V1 struck V2 while reversing from parking spot,insured,99066,38,5,0,0.59
1QX6GVWRD,2021-11-01,2022-07-15,7476.43,NE,Coupe,Weather Damage,V2 rear-ended V1 while stopped at a red light,insured,17518,24,4,0,0.01
MLY4LYK83,2021-10-01,2022-08-07,38026.7,IN,Van,Backing Collision,V1 was missing after being parked overnight,claimant,99479,80,5,0,0.87
TQLL8OS9X,2022-02-06,2022-02-11,40295.97,VI,Coupe,Weather Damage,V2 rear-ended V1 while stopped at a red light,claimant,23602,73,2,0,0.66
TOGN1W1HT,2018-08-27,2019-02-15,16675.67,IN,Truck,Head-on Collision,V2 crossed centerline and hit V1 head-on,insured,49171,30,1,0,0.63
7PZE9VIFT,2018-09-30,2018-10-05,32562.9,KY,SUV,Weather Damage,V2 failed to stop and struck V1 from behind,claimant,91802,56,1,0,0.57
TD96QE3RZ,2018-03-11,2018-10-13,1002.52,PA,SUV,Side-impact,V2 was behind V1 when it began backing up,claimant,19623,33,3,0,0.63
SJ49ITN7S,2021-09-11,2021-09-16,12941.9,TX,SUV,Backing Collision,V2 turned left and struck the side of V1,claimant,45201,18,3,1,0.14
55J2O7S3K,2020-08-25,2021-05-13,11301.24,IA,SUV,Rear-end Collision,V2 was behind V1 when it began backing up,claimant,19486,66,0,0,0.81
KV9RFTMTT,2020-03-20,2020-12-01,42159.07,AS,Truck,Weather Damage,V1 was missing after being parked overnight,insured,100000,79,0,0,0.36
QLGZUI1B0,2018-10-09,2019-06-18,14522.24,AS,SUV,Weather Damage,V2 entered wrong lane and collided with V1,claimant,89130,55,4,0,0.66
Z3NX39RBS,2022-05-03,2023-01-04,25665.74,IN,SUV,Backing Collision,V2 turned left and struck the side of V1,claimant,100000,78,1,0,0.38
V55PSQ0OX,2020-12-20,2021-11-21,19297.56,FL,SUV,Side-impact,V2 ran a stop sign and hit the side of V1,claimant,88197,80,5,1,1.0
FQ8MYX444,2018-05-13,2018-05-18,53958.84,CO,SUV,Theft,V1 was missing after being parked overnight,claimant,15000,61,2,0,0.59
NLZ15BCW7,2019-04-25,2019-05-04,14154.05,AK,SUV,Head-on Collision,V2 crossed centerline and hit V1 head-on,claimant,15000,56,4,0,0.71
90PDW5PY6,2018-11-11,2019-01-20,29981.58,IN,Van,Side-impact,V2 entered wrong lane and collided with V1,claimant,96073,58,5,1,0.79
B2KNFTU2G,2022-06-06,2022-08-28,7266.61,AS,SUV,Weather Damage,Hailstorm caused significant roof and hood damage to V1,insured,93809,33,4,0,0.7
C5WI6FQJJ,2022-12-04,2022-12-09,36371.7,AL,SUV,Side-impact,V1 was damaged by falling tree during storm,claimant,43001,73,1,0,0.73
A26YFPMVX,2021-10-14,2022-07-17,8939.24,MA,Van,Backing Collision,V1 was missing after being parked overnight,claimant,93671,47,0,1,0.62
PJ4HNRIUU,2020-09-04,2020-09-09,46447.75,OR,Truck,Rear-end Collision,V2 rear-ended V1 while stopped at a red light,claimant,15000,80,1,1,0.57
9K9XJUY0B,2021-08-10,2021-09-28,9896.01,ND,Coupe,Head-on Collision,V1 struck V2 while reversing from parking spot,insured,22147,42,1,0,0.19
VR6K2VMWW,2021-07-28,2022-03-20,3562.19,FL,SUV,Side-impact,V2 turned left and struck the side of V1,insured,90359,47,0,0,0.51
YZX4W6XLP,2022-05-28,2022-11-26,14025.6,IL,Coupe,Rear-end Collision,V2 was behind V1 when it began backing up,claimant,23546,29,1,1,0.23
U0DK0GET8,2022-12-01,2022-12-06,22397.45,WV,Sedan,Rear-end Collision,V2 rear-ended V1 while stopped at a red light,insured,15000,80,0,0,0.17
T63J3R30M,2018-05-05,2018-12-19,4728.97,IA,Truck,Weather Damage,V1 was missing after being parked overnight,insured,27257,80,1,1,0.19
E8F840982,2022-10-08,2023-02-24,9854.07,VT,Coupe,Backing Collision,V1 was missing after being parked overnight,insured,21300,21,5,0,0.47
N2ATQYYV3,2022-06-20,2022-07-24,14078.96,WA,Truck,Backing Collision,V1 was reported stolen from insured’s driveway,insured,15000,31,1,0,0.36
7DIA5U6HC,2020-05-18,2020-06-27,14488.44,AK,Coupe,Head-on Collision,V2 crossed centerline and hit V1 head-on,insured,47687,59,4,0,0.03
36KOF8KRD,2021-09-10,2021-09-15,43679.22,AK,Coupe,Weather Damage,V1 was reported stolen from insured’s driveway,insured,94974,36,4,1,0.83
5EQY08P0F,2018-01-01,2018-01-30,3676.33,KY,Sedan,Head-on Collision,V1 was damaged by falling tree during storm,insured,16700,58,3,0,0.05
ODRO8BNP8,2021-04-07,2021-11-04,8250.77,KY,Coupe,Backing Collision,V2 entered wrong lane and collided with V1,claimant,24328,61,0,1,0.09
4DYT9MOGE,2019-04-18,2019-05-14,11338.56,PA,Truck,Backing Collision,V2 was behind V1 when it began backing up,insured,25217,58,3,0,0.58
4QXXVA2IE,2022-01-26,2022-06-15,18271.11,NY,Van,Theft,V2 failed to stop and struck V1 from behind,insured,48939,32,1,0,0.75
UC1HH5LF6,2020-07-09,2021-02-23,36782.45,FL,SUV,Weather Damage,V2 was behind V1 when it began backing up,claimant,97852,80,3,1,0.67
A4FEJGXAA,2021-05-30,2021-06-17,56140.68,CT,SUV,Rear-end Collision,V2 was behind V1 when it began backing up,claimant,99016,23,0,0,0.01
2ILGB0S0R,2021-08-05,2021-10-12,71666.95,KY,Sedan,Theft,V1 struck V2 while reversing from parking spot,claimant,87009,65,5,1,0.73
2SDS8B25S,2020-08-03,2020-08-08,15867.28,OH,Van,Backing Collision,V2 rear-ended V1 while stopped at a red light,insured,15000,38,1,1,0.78
Q8CROYR6C,2020-04-17,2021-02-17,13371.83,IN,Coupe,Rear-end Collision,V1 was damaged by falling tree during storm,insured,100000,38,0,0,0.45
CVCJWTL9T,2021-10-30,2022-08-15,5550.85,AK,SUV,Head-on Collision,V2 was behind V1 when it began backing up,insured,16844,18,4,0,0.27
QVDZ4X1ZH,2019-06-07,2020-04-16,27326.36,AK,Sedan,Theft,Hailstorm caused significant roof and hood damage to V1,claimant,23741,36,1,0,0.31
QIMQODPXN,2019-02-14,2019-02-19,13811.11,KY,Coupe,Rear-end Collision,V2 rear-ended V1 while stopped at a red light,claimant,91953,25,1,0,0.21
F7C3DD03U,2022-01-14,2022-04-10,18313.87,VT,Truck,Theft,V2 ran a stop sign and hit the side of V1,insured,26896,38,0,0,0.47
VULEMX15Z,2019-12-30,2020-01-04,16071.16,AL,Truck,Weather Damage,Hailstorm caused significant roof and hood damage to V1,claimant,100000,41,4,1,0.04
8VMUHXID4,2020-09-14,2021-07-19,1002.52,VT,Sedan,Theft,Hailstorm caused significant roof and hood damage to V1,insured,91434,60,1,0,0.65
N1U3493WX,2020-06-04,2020-08-10,8326.07,KY,Sedan,Side-impact,V1 struck V2 while reversing from parking spot,insured,43340,66,4,0,1.0
A73JGZLMA,2019-06-08,2019-06-13,17994.42,DE,Truck,Head-on Collision,V2 turned left and struck the side of V1,claimant,86425,53,1,0,0.01
5UOFWB0HP,2020-05-18,2020-06-09,34006.12,AZ,Truck,Theft,V2 failed to stop and struck V1 from behind,insured,17702,39,2,0,0.23
MNZ1UDBFW,2018-03-31,2018-07-03,13967.15,ID,Van,Weather Damage,V2 entered wrong lane and collided with V1,claimant,50142,80,5,0,0.6
YJXRPJ1EP,2020-04-29,2021-03-11,3906.65,MT,Truck,Backing Collision,V1 was missing after being parked overnight,insured,100000,18,3,0,0.51
KYRYBOVAK,2020-01-14,2020-12-20,7552.56,AS,SUV,Theft,V1 was reported stolen from insured’s driveway,claimant,100000,68,1,0,0.14
HEJLA0GNZ,2022-04-03,2022-12-11,31594.47,UT,Sedan,Rear-end Collision,V2 turned left and struck the side of V1,claimant,97840,69,0,1,0.45
S43C5BA75,2022-10-29,2022-11-03,47211.84,AS,Sedan,Theft,V2 was behind V1 when it began backing up,claimant,15000,66,1,0,0.28
UUZPEAL2W,2021-05-10,2021-09-11,11308.92,ND,SUV,Rear-end Collision,V2 crossed centerline and hit V1 head-on,claimant,88479,44,4,0,0.24
37D4IVSOL,2022-09-05,2022-11-01,2038.73,NE,Coupe,Weather Damage,V1 struck V2 while reversing from parking spot,insured,97305,54,2,0,0.68
MLGSES6M0,2020-10-07,2021-08-07,8157.21,OR,Van,Side-impact,V1 struck V2 while reversing from parking spot,claimant,48946,33,0,0,0.71
33IFHV1XG,2020-02-22,2020-11-29,38282.07,CO,Sedan,Backing Collision,V2 crossed centerline and hit V1 head-on,claimant,90929,35,1,0,0.38
1R11Q7UWW,2018-07-09,2018-08-12,2663.14,IA,SUV,Theft,V1 was damaged by falling tree during storm,claimant,15000,72,1,0,0.74
5WFCPKJCS,2021-02-20,2021-02-25,35251.81,AL,SUV,Side-impact,V2 turned left and struck the side of V1,claimant,88362,26,1,0,0.25
LQC3C54WS,2018-03-28,2018-04-08,18737.1,KY,Sedan,Rear-end Collision,Hailstorm caused significant roof and hood damage to V1,insured,15000,21,5,1,0.01
QT26Q3XLR,2019-09-05,2020-01-12,1002.52,VT,SUV,Side-impact,V2 turned left and struck the side of V1,claimant,17393,38,1,0,0.2
FCD6MZSGI,2019-08-13,2019-08-18,1002.52,TX,SUV,Rear-end Collision,V2 failed to stop and struck V1 from behind,insured,90744,46,1,0,0.1
PPSFNKOMV,2020-01-25,2020-08-06,1421.84,DC,Van,Rear-end Collision,V2 was behind V1 when it began backing up,claimant,15000,27,2,0,0.68
2XCDYK0X6,2022-12-25,2023-08-27,23664.41,CO,SUV,Theft,V2 entered wrong lane and collided with V1,claimant,54565,25,3,1,0.52
5MUFM8ZOV,2020-11-17,2021-03-25,3430.01,AK,SUV,Theft,V2 crossed centerline and hit V1 head-on,claimant,15757,23,5,0,0.23
7LN23Y30Y,2022-03-18,2022-03-23,14527.86,IN,Truck,Backing Collision,V1 was missing after being parked overnight,claimant,15000,80,4,0,0.68
SXPNNGH8R,2020-12-28,2021-09-09,16093.02,AS,Sedan,Weather Damage,V2 turned left and struck the side of V1,insured,93935,31,5,0,0.71
IEC4D145B,2018-06-23,2019-06-08,75267.97,SC,Sedan,Head-on Collision,V2 ran a stop sign and hit the side of V1,insured,22889,33,5,0,0.79
M1ENF313F,2019-08-02,2020-04-29,42630.51,AZ,SUV,Backing Collision,V1 was damaged by falling tree during storm,claimant,50145,49,4,0,0.67
POYIPK0QT,2022-10-07,2023-07-08,53378.66,FL,Van,Side-impact,V2 ran a stop sign and hit the side of V1,insured,15000,76,5,1,0.43
L3Q4N89QK,2022-06-03,2022-08-14,1002.52,AK,Coupe,Weather Damage,V1 was missing after being parked overnight,claimant,43033,53,4,0,0.36
NS832EJX5,2019-02-27,2019-03-04,11293.46,CT,SUV,Rear-end Collision,V2 rear-ended V1 while stopped at a red light,insured,22098,70,1,0,0.19
TD44K1J6F,2022-11-10,2023-02-25,39990.08,IN,Truck,Backing Collision,V2 was behind V1 when it began backing up,claimant,23578,51,2,0,0.17
P8HQMABSI,2018-05-22,2019-01-18,40494.74,WA,Coupe,Theft,V1 was damaged by falling tree during storm,insured,50971,59,3,0,0.53
9NB74X2EK,2018-01-27,2018-05-21,19360.87,NE,Sedan,Side-impact,V1 was reported stolen from insured’s driveway,insured,100000,80,1,0,0.38
3ZEZQACJ4,2019-10-09,2019-12-10,39837.6,VT,Van,Backing Collision,V2 entered wrong lane and collided with V1,claimant,18506,79,5,0,0.3
T0SEKKBP2,2021-08-22,2021-10-24,41898.46,VT,Coupe,Side-impact,V1 was reported stolen from insured’s driveway,insured,87806,80,3,0,0.4
QD6VASIFP,2021-02-05,2021-05-20,15142.87,WA,Truck,Head-on Collision,V2 entered wrong lane and collided with V1,claimant,93745,46,3,0,0.01
WIOXD9CSS,2021-05-24,2021-05-30,17734.54,SD,Coupe,Weather Damage,V2 ran a stop sign and hit the side of V1,insured,23948,56,4,0,0.87
9TOQW9JA2,2021-04-24,2021-07-18,2450.92,SC,Truck,Side-impact,V1 was damaged by falling tree during storm,insured,100000,33,1,0,0.73
M0W10LBT3,2022-11-16,2023-03-10,3119.62,PA,Van,Rear-end Collision,V2 turned left and struck the side of V1,insured,57180,20,0,0,0.18
G2QZW3C1Q,2022-07-14,2022-09-24,1002.52,KY,Van,Rear-end Collision,V2 rear-ended V1 while stopped at a red light,claimant,15152,80,4,0,0.94
KBHB7S9TJ,2018-06-07,2018-08-06,91131.18,WA,Van,Side-impact,V1 was damaged by falling tree during storm,claimant,94096,26,1,0,1.0
1GM25LEN6,2021-10-30,2022-02-05,3225.2,SD,Van,Theft,V2 ran a stop sign and hit the side of V1,claimant,18547,75,0,0,0.81
06N9RR7S2,2022-06-05,2022-10-18,66827.06,CO,Van,Rear-end Collision,V2 rear-ended V1 while stopped at a red light,claimant,29918,54,0,0,0.33
0CV3TLCXL,2018-12-22,2019-06-20,1002.52,VT,Sedan,Theft,V2 crossed centerline and hit V1 head-on,insured,93286,33,1,0,0.46
VPYMB5M9J,2018-10-14,2019-06-21,63078.82,DC,Sedan,Head-on Collision,V2 entered wrong lane and collided with V1,insured,100000,70,5,0,0.75
98CWN2Y8F,2019-11-18,2020-01-06,12017.39,AK,Sedan,Rear-end Collision,V2 turned left and struck the side of V1,insured,15000,46,0,0,0.4
V2BC2NNUV,2019-03-08,2019-03-21,1002.52,NY,Sedan,Theft,V1 was missing after being parked overnight,insured,15977,52,3,0,0.57
Y8N1UTOXI,2020-08-25,2021-06-01,9526.36,AL,Coupe,Weather Damage,Hailstorm caused significant roof and hood damage to V1,insured,89034,58,0,0,0.67
E0RNUJJQ9,2018-03-01,2018-06-13,2088.09,IN,Van,Side-impact,V1 was missing after being parked overnight,insured,20637,38,1,0,0.81
K6RE4Q6QD,2022-06-01,2023-01-13,2567.77,NV,SUV,Theft,V1 was damaged by falling tree during storm,insured,23817,61,2,1,0.01
Y4LMCT64Z,2020-06-18,2020-11-22,1278.53,WV,Sedan,Rear-end Collision,V1 was reported stolen from insured’s driveway,insured,98106,67,2,1,0.13
7W2SEHE2A,2018-01-23,2018-03-27,9427.04,WV,Coupe,Theft,V2 entered wrong lane and collided with V1,insured,15000,49,4,1,1.0
TN2TWDL9Z,2022-03-03,2022-12-08,1002.52,AZ,Coupe,Theft,V2 entered wrong lane and collided with V1,claimant,50344,44,4,0,0.61
S13C9XQYM,2022-06-29,2023-06-29,34946.7,KY,Coupe,Theft,V1 struck V2 while reversing from parking spot,claimant,15000,57,4,0,0.01
52XG8P6BE,2018-06-27,2018-09-25,1002.52,SC,Van,Backing Collision,V2 rear-ended V1 while stopped at a red light,insured,88392,80,4,0,0.92
FFLZM764J,2021-11-22,2022-06-14,69298.18,AL,Coupe,Rear-end Collision,V2 rear-ended V1 while stopped at a red light,claimant,48177,39,1,0,0.47
WTEKTSG7F,2021-06-23,2022-04-02,5634.89,UT,Van,Rear-end Collision,V2 crossed centerline and hit V1 head-on,claimant,94830,58,0,0,0.31
XZV4U3BBX,2019-02-06,2019-02-19,11170.31,CO,Coupe,Weather Damage,V1 was reported stolen from insured’s driveway,insured,22168,31,0,0,0.22
UX1OXRWK8,2022-09-04,2023-05-22,16368.49,NV,Coupe,Head-on Collision,V2 entered wrong lane and collided with V1,claimant,52937,29,5,0,0.01
